Price,Returns,Volatility,Momentum,Intraday_Range,Regime,gamma_0,gamma_1,gamma_2
2000-02-02,-0.0001135638507474,0.257009116537865,-0.3863001504058229,0.0121494231694325,2,0.0,6.155900835126371e-217,1.0
2000-02-03,0.0111853476979196,0.2208920000687636,0.2171141260604687,0.0191302345495561,1,8.90058877017991e-130,0.9322043486148391,0.06779565138675597
2000-02-04,-0.0004211330357219,0.2208995076959218,0.189016474092775,0.010727570328816,1,8.998874906681937e-10,0.9973226824817455,0.0026773166192551163
2000-02-07,-9.12760143166444e-05,0.2209170071765382,0.1764585010402914,0.0097034688354037,1,8.699119416483353e-10,0.9998731323151273,0.00012686681614829427
2000-02-08,0.0121984936725935,0.2044661103243028,0.0020810283529663,0.0122006812541647,1,3.298050523529606e-09,0.9999874548252793,1.25418749905235e-05
2000-02-09,-0.0210351170597511,0.2126202509828232,-0.3838742748417205,0.0233050876769432,1,1.2667085417119687e-13,0.9999434865529653,5.651344509047745e-05
2000-02-10,0.0036202428527764,0.2089716552109407,-0.1826484391415693,0.0110598465313611,1,2.2458550569793856e-09,0.9999871277423995,1.2870009983135082e-05
2000-02-11,-0.0211922989891896,0.2204732137020183,-0.3842037908685284,0.027351592897372,1,1.0555512837105946e-15,0.9998389340466288,0.00016106595501474792
2000-02-14,0.0020308868535491,0.2153352820130684,-0.5049880906109421,0.0103601774329137,1,3.8293893900851246e-11,0.9999747564855439,2.5243476239083158e-05
2000-02-15,0.0086749475530797,0.2140037256475297,-0.5282658819420755,0.0224456828266783,1,4.1126720725450526e-13,0.9999685109625053,3.148903579797134e-05
2000-02-16,-0.0103093728166805,0.2153020515228767,-0.5697121520214207,0.013670463563156,1,1.527352160341889e-11,0.9999676073938287,3.239258971491225e-05
2000-02-17,0.0004250581374747,0.2152864998913641,-0.5708773368551908,0.0142697034088696,1,2.187446247065749e-11,0.999799735654365,0.00020026432225604896
2000-02-18,-0.030847103081692,0.2366571566246945,-0.8555952229971597,0.0321449684864719,1,9.21214042280165e-23,0.9951701455402808,0.004829854460315549
2000-02-22,0.0045066734811152,0.2382381227983389,-0.7665163236163333,0.0193984333451265,1,1.6327570629392199e-15,0.9992148738125989,0.0007851261870899416
2000-02-23,0.0062811391063376,0.2219989967363737,-0.3548716435987726,0.020335304247723,1,2.681346852178702e-12,0.9999325805719864,6.741942691980996e-05
2000-02-24,-0.0053497303162453,0.2206833990510827,-0.4916262106302037,0.025801144174068,1,7.107809256428209e-14,0.9999426605023165,5.733949675863565e-05
2000-02-25,-0.0149400893854355,0.2251513359699103,-0.6202478460554197,0.0247419981076428,1,5.3457002777608704e-15,0.9999037074429036,9.629255684427932e-05
2000-02-28,0.0109570787459805,0.2297841245620899,-0.4414084528098637,0.026519786881116,1,1.0088277758585375e-15,0.9998351119506352,0.00016488805049760054
2000-02-29,0.0135350730966457,0.2148065006748233,0.0551021771066816,0.0157930616945422,1,1.8735951830570443e-10,0.99998024976089,1.9750052356847816e-05
2000-03-01,0.009302114728482,0.1983855835041437,-0.1321306525010298,0.0123550183195312,1,9.756140575967215e-09,0.9999936085937021,6.381648404767261e-06
